ID	Class
AT4G21190	non-siRNA-PPR
AT4G18975	non-siRNA-PPR
AT1G61870	non-siRNA-PPR
AT1G28000	non-siRNA-PPR
AT4G01030	non-siRNA-PPR
AT1G80550	non-siRNA-PPR
AT3G29230	non-siRNA-PPR
AT5G15980	non-siRNA-PPR
AT5G67570	non-siRNA-PPR
AT3G46610	non-siRNA-PPR
AT4G18750	non-siRNA-PPR
AT1G64430	non-siRNA-PPR
AT1G06150	non-siRNA-PPR
AT1G66345	non-siRNA-PPR
AT5G37570	non-siRNA-PPR
AT5G60960	non-siRNA-PPR
AT1G69350	non-siRNA-PPR
AT5G14770	non-siRNA-PPR
AT1G19520	non-siRNA-PPR
AT5G39710	non-siRNA-PPR
AT5G59900	non-siRNA-PPR
AT4G35850	non-siRNA-PPR
AT3G51320	non-siRNA-PPR
AT5G55740	non-siRNA-PPR
AT1G79490	non-siRNA-PPR
AT1G30290	non-siRNA-PPR
AT4G37380	non-siRNA-PPR
AT1G52620	non-siRNA-PPR
AT4G32450	non-siRNA-PPR
AT3G48810	non-siRNA-PPR
AT5G64320	non-siRNA-PPR
AT2G15980	non-siRNA-PPR
AT1G74900	non-siRNA-PPR
AT3G06920	non-siRNA-PPR
AT2G37230	non-siRNA-PPR
AT3G42630	non-siRNA-PPR
AT2G20710	non-siRNA-PPR
AT5G08310	non-siRNA-PPR
AT1G05750	non-siRNA-PPR
AT2G36240	non-siRNA-PPR
AT3G50420	non-siRNA-PPR
AT4G19890	non-siRNA-PPR
AT4G18520	non-siRNA-PPR
AT1G11900	non-siRNA-PPR
AT3G49142	non-siRNA-PPR
AT5G09450	non-siRNA-PPR
AT2G16880	non-siRNA-PPR
AT4G19440	non-siRNA-PPR
AT3G53170	non-siRNA-PPR
AT2G40240	non-siRNA-PPR
AT1G74750	non-siRNA-PPR
AT5G39350	non-siRNA-PPR
AT2G22070	non-siRNA-PPR
AT3G25210	non-siRNA-PPR
AT1G28020	non-siRNA-PPR
AT4G25270	non-siRNA-PPR
AT3G12770	non-siRNA-PPR
AT4G32430	non-siRNA-PPR
AT3G11460	non-siRNA-PPR
AT2G30100	non-siRNA-PPR
AT1G05670	non-siRNA-PPR
AT4G02750	non-siRNA-PPR
AT2G36730	non-siRNA-PPR
AT2G17670	non-siRNA-PPR
AT1G62350	non-siRNA-PPR
AT5G61800	non-siRNA-PPR
AT3G09060	non-siRNA-PPR
AT5G02860	non-siRNA-PPR
AT2G04860	non-siRNA-PPR
AT1G22960	non-siRNA-PPR
AT4G38150	non-siRNA-PPR
AT1G11290	non-siRNA-PPR
AT1G02370	non-siRNA-PPR
AT1G11630	non-siRNA-PPR
AT2G06000	non-siRNA-PPR
AT2G37310	non-siRNA-PPR
AT4G02820	non-siRNA-PPR
AT4G26800	non-siRNA-PPR
AT4G14050	non-siRNA-PPR
AT1G18900	non-siRNA-PPR
AT1G17630	non-siRNA-PPR
AT2G30780	non-siRNA-PPR
AT3G24000	non-siRNA-PPR
AT4G04790	non-siRNA-PPR
AT5G13230	non-siRNA-PPR
AT1G16830	non-siRNA-PPR
AT5G55840	non-siRNA-PPR
AT3G22690	non-siRNA-PPR
AT5G04780	non-siRNA-PPR
AT5G15010	non-siRNA-PPR
AT1G79080	non-siRNA-PPR
AT3G02490	non-siRNA-PPR
AT1G11710	non-siRNA-PPR
AT2G27800	non-siRNA-PPR
AT5G14350	non-siRNA-PPR
AT5G38730	non-siRNA-PPR
AT4G33170	non-siRNA-PPR
AT1G56690	non-siRNA-PPR
AT4G01570	non-siRNA-PPR
AT5G65560	non-siRNA-PPR
AT5G57250	non-siRNA-PPR
AT3G46870	non-siRNA-PPR
AT1G04840	non-siRNA-PPR
AT1G09820	non-siRNA-PPR
AT2G33680	non-siRNA-PPR
AT3G05340	non-siRNA-PPR
AT5G28460	non-siRNA-PPR
AT5G28370	non-siRNA-PPR
AT3G61520	non-siRNA-PPR
AT1G56570	non-siRNA-PPR
AT5G27110	non-siRNA-PPR
AT3G60050	non-siRNA-PPR
AT2G26790	non-siRNA-PPR
AT3G02650	non-siRNA-PPR
AT1G13410	non-siRNA-PPR
AT3G13160	non-siRNA-PPR
AT3G17370	non-siRNA-PPR
AT4G21170	non-siRNA-PPR
AT3G16010	non-siRNA-PPR
AT5G08305	non-siRNA-PPR
AT4G26680	non-siRNA-PPR
AT5G19020	non-siRNA-PPR
AT3G62540	non-siRNA-PPR
AT3G62470	non-siRNA-PPR
AT4G21705	non-siRNA-PPR
AT5G39980	non-siRNA-PPR
AT5G27460	non-siRNA-PPR
AT3G56030	non-siRNA-PPR
AT1G76280	non-siRNA-PPR
AT5G50990	non-siRNA-PPR
AT3G20730	non-siRNA-PPR
AT4G21880	non-siRNA-PPR
AT2G45350	non-siRNA-PPR
AT5G66500	non-siRNA-PPR
AT5G16420	non-siRNA-PPR
AT4G20090	non-siRNA-PPR
AT2G19280	non-siRNA-PPR
AT3G54980	non-siRNA-PPR
AT5G14820	non-siRNA-PPR
AT1G10270	non-siRNA-PPR
AT5G61370	non-siRNA-PPR
AT5G46680	non-siRNA-PPR
AT4G21065	non-siRNA-PPR
AT4G20740	non-siRNA-PPR
AT1G20230	non-siRNA-PPR
AT5G15340	non-siRNA-PPR
AT3G14730	non-siRNA-PPR
AT3G16610	non-siRNA-PPR
AT3G07290	non-siRNA-PPR
AT1G31790	non-siRNA-PPR
AT1G64310	non-siRNA-PPR
AT1G47580	non-siRNA-PPR
AT4G16470	non-siRNA-PPR
AT5G15280	non-siRNA-PPR
AT1G19290	non-siRNA-PPR
AT5G14080	non-siRNA-PPR
AT3G62890	non-siRNA-PPR
AT3G49730	non-siRNA-PPR
AT5G43790	non-siRNA-PPR
AT3G15200	non-siRNA-PPR
AT3G09040	non-siRNA-PPR
AT1G26500	non-siRNA-PPR
AT1G08070	non-siRNA-PPR
AT3G46790	non-siRNA-PPR
AT2G32630	non-siRNA-PPR
AT2G20720	non-siRNA-PPR
AT5G62370	non-siRNA-PPR
AT4G33990	non-siRNA-PPR
AT3G61360	non-siRNA-PPR
AT3G60980	non-siRNA-PPR
AT3G02330	non-siRNA-PPR
AT1G13630	non-siRNA-PPR
AT5G09320	non-siRNA-PPR
AT4G28010	non-siRNA-PPR
AT2G01510	non-siRNA-PPR
AT2G34400	non-siRNA-PPR
AT5G61990	non-siRNA-PPR
AT2G16650	non-siRNA-PPR
AT3G04130	non-siRNA-PPR
AT1G33350	non-siRNA-PPR
AT4G14850	non-siRNA-PPR
AT2G03880	non-siRNA-PPR
AT1G80880	non-siRNA-PPR
AT5G18475	non-siRNA-PPR
AT3G23020	non-siRNA-PPR
AT3G18970	non-siRNA-PPR
AT3G18020	non-siRNA-PPR
AT3G04750	non-siRNA-PPR
AT2G38420	non-siRNA-PPR
AT1G77405	non-siRNA-PPR
AT1G77010	non-siRNA-PPR
AT1G80150	non-siRNA-PPR
AT1G07740	non-siRNA-PPR
AT5G44230	non-siRNA-PPR
AT2G17525	non-siRNA-PPR
AT2G17140	non-siRNA-PPR
AT1G29710	non-siRNA-PPR
AT1G18485	non-siRNA-PPR
AT3G49170	non-siRNA-PPR
AT1G05600	non-siRNA-PPR
AT4G13650	non-siRNA-PPR
AT4G21900	non-siRNA-PPR
AT3G26630	non-siRNA-PPR
AT3G15590	non-siRNA-PPR
AT2G18520	non-siRNA-PPR
AT4G01400	non-siRNA-PPR
AT3G60040	non-siRNA-PPR
AT3G58590	non-siRNA-PPR
AT1G25360	non-siRNA-PPR
AT1G06140	non-siRNA-PPR
AT1G71060	non-siRNA-PPR
AT2G29760	non-siRNA-PPR
AT1G68930	non-siRNA-PPR
AT5G06400	non-siRNA-PPR
AT3G28660	non-siRNA-PPR
AT2G40720	non-siRNA-PPR
AT1G52640	non-siRNA-PPR
AT5G08510	non-siRNA-PPR
AT5G24830	non-siRNA-PPR
AT4G16835	non-siRNA-PPR
AT3G48250	non-siRNA-PPR
AT2G01740	non-siRNA-PPR
AT1G77360	non-siRNA-PPR
AT1G02060	non-siRNA-PPR
AT3G26540	non-siRNA-PPR
AT3G01580	non-siRNA-PPR
AT1G20300	non-siRNA-PPR
AT1G09900	non-siRNA-PPR
AT5G65570	non-siRNA-PPR
AT4G17616	non-siRNA-PPR
AT2G13600	non-siRNA-PPR
AT5G47460	non-siRNA-PPR
AT4G18840	non-siRNA-PPR
AT3G56550	non-siRNA-PPR
AT3G49710	non-siRNA-PPR
AT3G15130	non-siRNA-PPR
AT2G42920	non-siRNA-PPR
AT2G03380	non-siRNA-PPR
AT2G02150	non-siRNA-PPR
AT1G71420	non-siRNA-PPR
AT1G32415	non-siRNA-PPR
AT1G26900	non-siRNA-PPR
AT1G22830	non-siRNA-PPR
AT5G40400	non-siRNA-PPR
AT1G55630	non-siRNA-PPR
AT5G18390	non-siRNA-PPR
AT3G14580	non-siRNA-PPR
AT3G03580	non-siRNA-PPR
AT2G35030	non-siRNA-PPR
AT1G71490	non-siRNA-PPR
AT1G06710	non-siRNA-PPR
AT5G47360	non-siRNA-PPR
AT5G46100	non-siRNA-PPR
AT5G12100	non-siRNA-PPR
AT4G11690	non-siRNA-PPR
AT3G49740	non-siRNA-PPR
AT3G47530	non-siRNA-PPR
AT1G51965	non-siRNA-PPR
AT1G09410	non-siRNA-PPR
AT5G28380	non-siRNA-PPR
AT5G28340	non-siRNA-PPR
AT3G26782	non-siRNA-PPR
AT2G28050	non-siRNA-PPR
AT2G02980	non-siRNA-PPR
AT1G74600	non-siRNA-PPR
AT1G69290	non-siRNA-PPR
AT1G13800	non-siRNA-PPR
AT2G22410	non-siRNA-PPR
AT5G66631	non-siRNA-PPR
AT5G65820	non-siRNA-PPR
AT5G61400	non-siRNA-PPR
AT5G59600	non-siRNA-PPR
AT5G59200	non-siRNA-PPR
AT5G56310	non-siRNA-PPR
AT5G52850	non-siRNA-PPR
AT5G52630	non-siRNA-PPR
AT5G50390	non-siRNA-PPR
AT5G46460	non-siRNA-PPR
AT5G43820	non-siRNA-PPR
AT5G42450	non-siRNA-PPR
AT5G40410	non-siRNA-PPR
AT5G40405	non-siRNA-PPR
AT5G39680	non-siRNA-PPR
AT5G18950	non-siRNA-PPR
AT5G16860	non-siRNA-PPR
AT5G15300	non-siRNA-PPR
AT5G11310	non-siRNA-PPR
AT5G09950	non-siRNA-PPR
AT5G08490	non-siRNA-PPR
AT5G06540	non-siRNA-PPR
AT5G03800	non-siRNA-PPR
AT5G03560	non-siRNA-PPR
AT4G39952	non-siRNA-PPR
AT4G39530	non-siRNA-PPR
AT4G38010	non-siRNA-PPR
AT4G37170	non-siRNA-PPR
AT4G36680	non-siRNA-PPR
AT4G35130	non-siRNA-PPR
AT4G31070	non-siRNA-PPR
AT4G30700	non-siRNA-PPR
AT4G22760	non-siRNA-PPR
AT4G21300	non-siRNA-PPR
AT4G20770	non-siRNA-PPR
AT4G19220	non-siRNA-PPR
AT4G19191	non-siRNA-PPR
AT4G15720	non-siRNA-PPR
AT4G14820	non-siRNA-PPR
AT4G14170	non-siRNA-PPR
AT4G08210	non-siRNA-PPR
AT4G04370	non-siRNA-PPR
AT4G01990	non-siRNA-PPR
AT3G61170	non-siRNA-PPR
AT3G57430	non-siRNA-PPR
AT3G53360	non-siRNA-PPR
AT3G47840	non-siRNA-PPR
AT3G28640	non-siRNA-PPR
AT3G25970	non-siRNA-PPR
AT3G25060	non-siRNA-PPR
AT3G22670	non-siRNA-PPR
AT3G21470	non-siRNA-PPR
AT3G18840	non-siRNA-PPR
AT3G16890	non-siRNA-PPR
AT3G15930	non-siRNA-PPR
AT3G13880	non-siRNA-PPR
AT3G13770	non-siRNA-PPR
AT3G11380	non-siRNA-PPR
AT3G11350	non-siRNA-PPR
AT3G08820	non-siRNA-PPR
AT3G05240	non-siRNA-PPR
AT3G02010	non-siRNA-PPR
AT2G48000	non-siRNA-PPR
AT2G46050	non-siRNA-PPR
AT2G44880	non-siRNA-PPR
AT2G39620	non-siRNA-PPR
AT2G39230	non-siRNA-PPR
AT2G37320	non-siRNA-PPR
AT2G36980	non-siRNA-PPR
AT2G34370	non-siRNA-PPR
AT2G33760	non-siRNA-PPR
AT2G27610	non-siRNA-PPR
AT2G25580	non-siRNA-PPR
AT2G21090	non-siRNA-PPR
AT2G20540	non-siRNA-PPR
AT2G17210	non-siRNA-PPR
AT2G15630	non-siRNA-PPR
AT2G01390	non-siRNA-PPR
AT2G01360	non-siRNA-PPR
AT1G77340	non-siRNA-PPR
AT1G77170	non-siRNA-PPR
AT1G77150	non-siRNA-PPR
AT1G74630	non-siRNA-PPR
AT1G74580	non-siRNA-PPR
AT1G74400	non-siRNA-PPR
AT1G73400	non-siRNA-PPR
AT1G71460	non-siRNA-PPR
AT1G62260	non-siRNA-PPR
AT1G53600	non-siRNA-PPR
AT1G53330	non-siRNA-PPR
AT1G43980	non-siRNA-PPR
AT1G43010	non-siRNA-PPR
AT1G34160	non-siRNA-PPR
AT1G31840	non-siRNA-PPR
AT1G31430	non-siRNA-PPR
AT1G28690	non-siRNA-PPR
AT1G14470	non-siRNA-PPR
AT1G13040	non-siRNA-PPR
AT1G10330	non-siRNA-PPR
AT1G09680	non-siRNA-PPR
AT1G09220	non-siRNA-PPR
AT1G09190	non-siRNA-PPR
AT1G06270	non-siRNA-PPR
AT1G03560	non-siRNA-PPR
AT1G03540	non-siRNA-PPR
AT1G03510	non-siRNA-PPR
AT1G03100	non-siRNA-PPR
AT1G02420	non-siRNA-PPR
